nr,Koerpergroesse,Lieblingsfilm,Sockenfarbe,Armlaenge,Einwohnerzahl,Akku,Sandkoerner,Distanz_Wohnort,letzte_Pizza,Mathe,Schuhgroesse,Mahlzeiten_Mensa
1,164,Inception,weiß,70.8,75767,50%,100 000 000 000 000,42km,01.12.2023,9,38,260
2,177,Harry Potter,grün,63.5,408924,90%,500 000 000 000 000 000,42km,02.12.2023,3,42,167
3,186,Honig im Kopf,dunkelgrau,63.8,1463769,90%,500 000 000 000 000 000,50km,03.12.2023,3,46,132
4,172,Top Gun: Maverick,dunkelgrau,60.6,568551,90%,7 000 000 000 000 000 000,50km,04.12.2023,3,39,241
5,168,Inception,weiß,70.7,387262,30%,60 000 000 000 000 000 000,24km,05.12.2023,4,38,120
6,165,Coach Carter,dunkelgrau,61.7,810209,90%,100 000 000 000 000,24km,06.12.2023,8,38,147
7,186,Top Gun: Maverick,dunkelgrau,66.6,685441,30%,25 000 000 000 000 000 000,35km,07.12.2023,6,44,247
8,178,Inception,weiß,63.0,1701241,50%,60 000 000 000 000 000 000,24km,08.12.2023,8,43,227
9,164,Harry Potter,dunkelgrau,73.4,984347,30%,25 000 000 000 000 000 000,42km,09.12.2023,1,37,235
10,183,House of Gucci,braun,67.1,1503166,50%,7 000 000 000 000 000 000,50km,10.12.2023,8,43,234
11,176,Mamma Mia!,schwarz,68.4,137849,90%,7 000 000 000 000 000 000,24km,11.12.2023,4,43,294
12,180,Coach Carter,schwarz,70.4,617076,90%,500 000 000 000 000 000,24km,12.12.2023,1,43,244
13,168,Little Women,weiß,62.1,127949,50%,100 000 000 000 000,35km,13.12.2023,8,39,227
14,168,House of Gucci,grün,69.1,1627881,70%,25 000 000 000 000 000 000,35km,14.12.2023,4,38,132
15,181,Gefährten,weiß,68.1,402691,50%,60 000 000 000 000 000 000,42km,15.12.2023,6,43,275
16,178,Top Gun: Maverick,grün,63.0,499047,70%,7 000 000 000 000 000 000,50km,16.12.2023,8,43,286
17,161,Gefährten,schwarz,74.1,451270,30%,500 000 000 000 000 000,35km,17.12.2023,4,36,214
18,165,House of Gucci,weiß,69.0,21960,30%,500 000 000 000 000 000,24km,18.12.2023,3,39,218
19,181,Inception,braun,70.4,1709467,30%,25 000 000 000 000 000 000,50km,19.12.2023,9,43,121
20,160,Little Women,dunkelgrau,73.2,1798793,90%,7 000 000 000 000 000 000,50km,20.12.2023,3,36,257
21,179,Coach Carter,grün,69.4,1954110,30%,100 000 000 000 000,24km,21.12.2023,9,42,137
22,178,Coach Carter,dunkelgrau,64.4,1838757,70%,7 000 000 000 000 000 000,35km,22.12.2023,2,45,208
23,159,Coach Carter,dunkelgrau,61.6,228577,30%,25 000 000 000 000 000 000,24km,23.12.2023,2,36,150
24,181,Little Women,weiß,66.8,1015603,50%,25 000 000 000 000 000 000,50km,24.12.2023,2,43,281
25,169,Hangover,dunkelgrau,63.3,1586410,50%,7 000 000 000 000 000 000,70km,25.12.2023,6,40,107
26,187,Little Women,braun,66.2,914092,90%,25 000 000 000 000 000 000,70km,26.12.2023,3,44,126
27,163,Mamma Mia!,dunkelgrau,73.2,165839,50%,7 000 000 000 000 000 000,42km,27.12.2023,9,38,126
28,159,Little Women,weiß,64.9,1384251,70%,60 000 000 000 000 000 000,24km,28.12.2023,4,34,120
